@relation NugacheBot1Normal-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute ' lrgst_pkt ' numeric
@attribute 'ratio_of_lrgst_pkt ' numeric
@attribute 'Avg_pktl ' numeric
@attribute Var_of_Pktl numeric
@attribute RPD numeric
@attribute Class {P2Pbot,Normal}

@data
0.0088,0.034483,0.006903,0.000007,0.001,Normal
0.0054,1,0.0054,0,0,P2Pbot
0.0118,0.076923,0.006254,0.000029,0.003,P2Pbot
0.0062,0.5,0.0061,0,0.001,P2Pbot
0.0118,0.111111,0.006856,0.000033,0.002,P2Pbot
0.0068,1,0.0068,0,0.999,Normal
0.0062,0.25,0.0056,0.000001,0.002,P2Pbot
0.0062,0.333333,0.006067,0,0.001,P2Pbot
0.0118,0.142857,0.006986,0.00004,0.002,P2Pbot
0.0118,0.111111,0.006856,0.000033,0.002,P2Pbot
0.0062,0.333333,0.005667,0.000001,0.001,P2Pbot
0.0062,0.25,0.0056,0.000001,0.004,P2Pbot
0.0062,0.5,0.0061,0,0.001,P2Pbot
0.0062,0.25,0.0056,0.000001,0.001,P2Pbot
0.006,1,0.006,0,0,Normal
0.0062,0.5,0.0061,0,0.001,P2Pbot
0.0118,0.111111,0.006856,0.000033,0,P2Pbot
0.0062,0.25,0.00605,0,0.001,P2Pbot
0.0062,0.5,0.0061,0,0.001,P2Pbot
0.0074,0.5,0.0064,0.00001,0.001,Normal
